model,eval_len,seed,exact_count,total_count,failure_count,final_accuracy,wall_clock_sec,device,best_val_final_acc,seed_mean_final_accuracy,clopper_pearson_lower_95
bag_projected,524288,20260525,3,50,47,0.06,2.9984800815582275,mps,0.0375,,
bag_projected,1048576,20260525,1,50,49,0.02,5.373085021972656,mps,0.0375,,
bag_projected,524288,20260526,2,50,48,0.04,2.589780807495117,mps,0.05,,
bag_projected,1048576,20260526,1,50,49,0.02,5.405247926712036,mps,0.05,,
bag_projected,524288,20260527,4,50,46,0.08,2.40615177154541,mps,0.05,,
bag_projected,1048576,20260527,4,50,46,0.08,4.886165142059326,mps,0.05,,
bag_projected,524288,20260528,3,50,47,0.06,2.4165799617767334,mps,0.025,,
bag_projected,1048576,20260528,0,50,50,0.0,4.8734540939331055,mps,0.025,,
bag_projected,524288,20260529,3,50,47,0.06,2.484200954437256,mps,0.0125,,
bag_projected,1048576,20260529,0,50,50,0.0,4.971158027648926,mps,0.0125,,
bag_projected,524288,AGGREGATE,15,250,235,0.06,,,,0.06,0.03396696165657102
bag_projected,1048576,AGGREGATE,6,250,244,0.024,,,,0.024,0.008857361277113632
