model,eval_len,seed,exact_count,total_count,failure_count,final_accuracy,wall_clock_sec,device,seed_mean_final_accuracy,clopper_pearson_lower_95
Hard-projected (ours),524288,20260525,50,50,0,1.0,,cpu,,
Hard-projected (ours),1048576,20260525,50,50,0,1.0,,cpu,,
Hard-projected (ours),524288,20260526,50,50,0,1.0,,cpu,,
Hard-projected (ours),1048576,20260526,50,50,0,1.0,,cpu,,
Hard-projected (ours),524288,20260527,50,50,0,1.0,,cpu,,
Hard-projected (ours),1048576,20260527,50,50,0,1.0,,cpu,,
Hard-projected (ours),524288,20260528,50,50,0,1.0,,cpu,,
Hard-projected (ours),1048576,20260528,50,50,0,1.0,,cpu,,
Hard-projected (ours),524288,20260529,50,50,0,1.0,,cpu,,
Hard-projected (ours),1048576,20260529,50,50,0,1.0,,cpu,,
Hard-projected (ours),524288,AGGREGATE,250,250,0,1.0,,,1.0,0.9853528113643196
Hard-projected (ours),1048576,AGGREGATE,250,250,0,1.0,,,1.0,0.9853528113643196
