model,eval_len,seed,exact_count,total_count,failure_count,final_accuracy,wall_clock_sec,device,best_val_final_acc,seed_mean_final_accuracy,clopper_pearson_lower_95
gru_projected,524288,20260525,3,50,47,0.06,150.93943667411804,cpu,0.0625,,
gru_projected,1048576,20260525,1,50,49,0.02,298.44840359687805,cpu,0.0625,,
gru_projected,524288,20260526,1,50,49,0.02,144.8789460659027,cpu,0.0375,,
gru_projected,1048576,20260526,1,50,49,0.02,288.6439311504364,cpu,0.0375,,
gru_projected,524288,20260527,2,50,48,0.04,143.96230816841125,cpu,0.0625,,
gru_projected,1048576,20260527,0,50,50,0.0,288.95764899253845,cpu,0.0625,,
gru_projected,524288,20260528,0,50,50,0.0,146.44502449035645,cpu,0.0375,,
gru_projected,1048576,20260528,0,50,50,0.0,287.9747245311737,cpu,0.0375,,
gru_projected,524288,20260529,1,50,49,0.02,141.97648429870605,cpu,0.0375,,
gru_projected,1048576,20260529,0,50,50,0.0,289.5357503890991,cpu,0.0375,,
gru_projected,524288,AGGREGATE,7,250,243,0.028,,,,0.027999999999999997,0.011330013795658527
gru_projected,1048576,AGGREGATE,2,250,248,0.008,,,,0.008,0.0009703097230388867
