model,seed,length,iid_exact,iid_total,iid_acc,iid_cp_lower,heldout_exact,heldout_total,heldout_acc,heldout_cp_lower
PD-SSM (adapted public impl.),20260525,8,250,250,1.0,0.9853528113643196,161,250,0.644,0.5812121406573398
PD-SSM (adapted public impl.),20260525,64,9,250,0.036,0.01659128292578173,8,250,0.032,0.01391461154874382
PD-SSM (adapted public impl.),20260526,8,249,250,0.996,0.9779161349993668,155,250,0.62,0.5566949965939949
PD-SSM (adapted public impl.),20260526,64,6,250,0.024,0.008857361277113632,3,250,0.012,0.00248155825470304
PD-SSM (adapted public impl.),20260527,8,249,250,0.996,0.9779161349993668,144,250,0.576,0.5121436793932146
PD-SSM (adapted public impl.),20260527,64,5,250,0.02,0.0065250700020295024,7,250,0.028,0.011330013795658527
PD-SSM (adapted public impl.),20260528,8,247,250,0.988,0.965333385425256,143,250,0.572,0.5081182597579326
PD-SSM (adapted public impl.),20260528,64,6,250,0.024,0.008857361277113632,5,250,0.02,0.0065250700020295024
PD-SSM (adapted public impl.),20260529,8,242,250,0.968,0.9379233026251296,121,250,0.484,0.42056596753862396
PD-SSM (adapted public impl.),20260529,64,13,250,0.052,0.027974892458440537,4,250,0.016,0.004376226508974088
Holonomy-style recurrence (ours),20260525,8,250,250,1.0,0.9853528113643196,250,250,1.0,0.9853528113643196
Holonomy-style recurrence (ours),20260525,64,0,250,0.0,0.0,0,250,0.0,0.0
Holonomy-style recurrence (ours),20260526,8,250,250,1.0,0.9853528113643196,250,250,1.0,0.9853528113643196
Holonomy-style recurrence (ours),20260526,64,6,250,0.024,0.008857361277113632,2,250,0.008,0.0009703097230388867
Holonomy-style recurrence (ours),20260527,8,250,250,1.0,0.9853528113643196,250,250,1.0,0.9853528113643196
Holonomy-style recurrence (ours),20260527,64,8,250,0.032,0.01391461154874382,7,250,0.028,0.011330013795658527
Holonomy-style recurrence (ours),20260528,8,250,250,1.0,0.9853528113643196,250,250,1.0,0.9853528113643196
Holonomy-style recurrence (ours),20260528,64,9,250,0.036,0.01659128292578173,4,250,0.016,0.004376226508974088
Holonomy-style recurrence (ours),20260529,8,250,250,1.0,0.9853528113643196,250,250,1.0,0.9853528113643196
Holonomy-style recurrence (ours),20260529,64,14,250,0.056,0.030950404619161476,8,250,0.032,0.01391461154874382
GRU + prototype readout,20260525,8,250,250,1.0,0.9853528113643196,250,250,1.0,0.9853528113643196
GRU + prototype readout,20260525,64,231,250,0.924,0.883859473363218,160,250,0.64,0.5771149986574691
GRU + prototype readout,20260526,8,250,250,1.0,0.9853528113643196,250,250,1.0,0.9853528113643196
GRU + prototype readout,20260526,64,246,250,0.984,0.9595426193679008,219,250,0.876,0.8286293362913788
GRU + prototype readout,20260527,8,250,250,1.0,0.9853528113643196,233,250,0.932,0.8933561639586287
GRU + prototype readout,20260527,64,193,250,0.772,0.7149250681357717,100,250,0.4,0.33878266056054335
GRU + prototype readout,20260528,8,250,250,1.0,0.9853528113643196,250,250,1.0,0.9853528113643196
GRU + prototype readout,20260528,64,171,250,0.684,0.6224344638150994,85,250,0.34,0.2814918742503992
GRU + prototype readout,20260529,8,250,250,1.0,0.9853528113643196,247,250,0.988,0.965333385425256
GRU + prototype readout,20260529,64,229,250,0.916,0.874463172626875,146,250,0.584,0.5202067117895119
