model,regime,eval_len,seed,exact_count,total_count,final_accuracy,checkpoint_sha256
Hard-projected (ours),IID,8,20260525,250,250,1.0,9f88aec9786a0c4a7b071cc22e0e2ca410c86b404480155470ac7ef9ee399bbd
Hard-projected (ours),heldout,8,20260525,250,250,1.0,9f88aec9786a0c4a7b071cc22e0e2ca410c86b404480155470ac7ef9ee399bbd
Hard-projected (ours),IID,64,20260525,250,250,1.0,9f88aec9786a0c4a7b071cc22e0e2ca410c86b404480155470ac7ef9ee399bbd
Hard-projected (ours),heldout,64,20260525,250,250,1.0,9f88aec9786a0c4a7b071cc22e0e2ca410c86b404480155470ac7ef9ee399bbd
Hard-projected (ours),IID,8,20260526,250,250,1.0,30643b7659fed0f71432aff8eba5c25587d250033b3928fb0ee72c803cebcccd
Hard-projected (ours),heldout,8,20260526,250,250,1.0,30643b7659fed0f71432aff8eba5c25587d250033b3928fb0ee72c803cebcccd
Hard-projected (ours),IID,64,20260526,250,250,1.0,30643b7659fed0f71432aff8eba5c25587d250033b3928fb0ee72c803cebcccd
Hard-projected (ours),heldout,64,20260526,250,250,1.0,30643b7659fed0f71432aff8eba5c25587d250033b3928fb0ee72c803cebcccd
Hard-projected (ours),IID,8,20260527,250,250,1.0,3f75ca5047bda1ace0bb528b39c95b36931e0449561243cd4fee3d96cfd354c8
Hard-projected (ours),heldout,8,20260527,250,250,1.0,3f75ca5047bda1ace0bb528b39c95b36931e0449561243cd4fee3d96cfd354c8
Hard-projected (ours),IID,64,20260527,250,250,1.0,3f75ca5047bda1ace0bb528b39c95b36931e0449561243cd4fee3d96cfd354c8
Hard-projected (ours),heldout,64,20260527,250,250,1.0,3f75ca5047bda1ace0bb528b39c95b36931e0449561243cd4fee3d96cfd354c8
Hard-projected (ours),IID,8,20260528,250,250,1.0,d1033da5abb88522b83f71ac2837c37424ce4da27815a270fcd39e3608fe4f5b
Hard-projected (ours),heldout,8,20260528,250,250,1.0,d1033da5abb88522b83f71ac2837c37424ce4da27815a270fcd39e3608fe4f5b
Hard-projected (ours),IID,64,20260528,250,250,1.0,d1033da5abb88522b83f71ac2837c37424ce4da27815a270fcd39e3608fe4f5b
Hard-projected (ours),heldout,64,20260528,250,250,1.0,d1033da5abb88522b83f71ac2837c37424ce4da27815a270fcd39e3608fe4f5b
Hard-projected (ours),IID,8,20260529,250,250,1.0,e87dcaedc77ed56f8a29e2ceca1b8ea056a0b07cd8e159a667611e2ac4fe3789
Hard-projected (ours),heldout,8,20260529,250,250,1.0,e87dcaedc77ed56f8a29e2ceca1b8ea056a0b07cd8e159a667611e2ac4fe3789
Hard-projected (ours),IID,64,20260529,250,250,1.0,e87dcaedc77ed56f8a29e2ceca1b8ea056a0b07cd8e159a667611e2ac4fe3789
Hard-projected (ours),heldout,64,20260529,250,250,1.0,e87dcaedc77ed56f8a29e2ceca1b8ea056a0b07cd8e159a667611e2ac4fe3789
