model,eval_len,seed,exact_count,total_count,failure_count,final_accuracy,wall_clock_sec,device,best_val_final_acc,chance,seed_mean_final_accuracy,clopper_pearson_lower_95
Hard-projected (ours),512,20260525,50,50,0,1.0,0.030466079711914062,cuda,1.0,0.008333333333333333,,
GRU native readout,512,20260525,0,50,50,0.0,0.04167675971984863,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),2048,20260525,50,50,0,1.0,0.10669159889221191,cuda,1.0,0.008333333333333333,,
GRU native readout,2048,20260525,1,50,49,0.02,0.15286898612976074,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),8192,20260525,50,50,0,1.0,0.4298233985900879,cuda,1.0,0.008333333333333333,,
GRU native readout,8192,20260525,0,50,50,0.0,0.6081202030181885,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),512,20260526,50,50,0,1.0,0.03143668174743652,cuda,1.0,0.008333333333333333,,
GRU native readout,512,20260526,0,50,50,0.0,0.041626691818237305,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),2048,20260526,50,50,0,1.0,0.10691475868225098,cuda,1.0,0.008333333333333333,,
GRU native readout,2048,20260526,0,50,50,0.0,0.14664816856384277,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),8192,20260526,50,50,0,1.0,0.4108715057373047,cuda,1.0,0.008333333333333333,,
GRU native readout,8192,20260526,0,50,50,0.0,0.584970235824585,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),512,20260527,50,50,0,1.0,0.029820919036865234,cuda,1.0,0.008333333333333333,,
GRU native readout,512,20260527,1,50,49,0.02,0.037841796875,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),2048,20260527,50,50,0,1.0,0.10187244415283203,cuda,1.0,0.008333333333333333,,
GRU native readout,2048,20260527,1,50,49,0.02,0.14480853080749512,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),8192,20260527,50,50,0,1.0,0.40544676780700684,cuda,1.0,0.008333333333333333,,
GRU native readout,8192,20260527,1,50,49,0.02,0.5713047981262207,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),512,20260528,50,50,0,1.0,0.030192852020263672,cuda,1.0,0.008333333333333333,,
GRU native readout,512,20260528,0,50,50,0.0,0.03826594352722168,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),2048,20260528,50,50,0,1.0,0.10335564613342285,cuda,1.0,0.008333333333333333,,
GRU native readout,2048,20260528,0,50,50,0.0,0.1469724178314209,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),8192,20260528,50,50,0,1.0,0.4091029167175293,cuda,1.0,0.008333333333333333,,
GRU native readout,8192,20260528,1,50,49,0.02,0.575329065322876,cuda,1.0,0.008333333333333333,,
Hard-projected (ours),512,20260529,50,50,0,1.0,0.02606511116027832,cuda,1.0,0.008333333333333333,,
GRU native readout,512,20260529,2,50,48,0.04,0.03744387626647949,cuda,1.0,0.008333333333333333,,
