model,seed,eval_len,exact_count,total_count,failure_count,final_accuracy,all_token_accuracy,best_val_final_acc,seed_mean_final_accuracy,clopper_pearson_lower_95
Structured SSM + projection,20260525,4096,4,50,46,0.08,FINAL_ONLY,0.025,,
Structured SSM + projection,20260525,65536,3,50,47,0.06,FINAL_ONLY,0.025,,
Structured SSM + projection,20260525,524288,2,50,48,0.04,FINAL_ONLY,0.025,,
Structured SSM + projection,20260526,4096,0,50,50,0.0,FINAL_ONLY,0.05,,
Structured SSM + projection,20260526,65536,0,50,50,0.0,FINAL_ONLY,0.05,,
Structured SSM + projection,20260526,524288,3,50,47,0.06,FINAL_ONLY,0.05,,
Structured SSM + projection,20260527,4096,0,50,50,0.0,FINAL_ONLY,0.025,,
Structured SSM + projection,20260527,65536,2,50,48,0.04,FINAL_ONLY,0.025,,
Structured SSM + projection,20260527,524288,3,50,47,0.06,FINAL_ONLY,0.025,,
Structured SSM + projection,20260528,4096,0,50,50,0.0,FINAL_ONLY,0.0375,,
Structured SSM + projection,20260528,65536,2,50,48,0.04,FINAL_ONLY,0.0375,,
Structured SSM + projection,20260528,524288,0,50,50,0.0,FINAL_ONLY,0.0375,,
Structured SSM + projection,20260529,4096,1,50,49,0.02,FINAL_ONLY,0.0625,,
Structured SSM + projection,20260529,65536,0,50,50,0.0,FINAL_ONLY,0.0625,,
Structured SSM + projection,20260529,524288,1,50,49,0.02,FINAL_ONLY,0.0625,,
Structured SSM + projection,AGGREGATE,4096,5,250,245,0.02,,,0.02,0.0065250700020295024
Structured SSM + projection,AGGREGATE,65536,7,250,243,0.028,,,0.028000000000000004,0.011330013795658532
Structured SSM + projection,AGGREGATE,524288,9,250,241,0.036,,,0.036,0.01659128292578173
