model,seed,eval_len,exact_count,total_count,failure_count,final_accuracy,all_token_accuracy,best_val_final_acc,seed_mean_final_accuracy,clopper_pearson_lower_95
Hard-projected (ours),20260525,4096,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260525,65536,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260525,524288,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260525,1048576,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260526,4096,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260526,65536,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260526,524288,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260526,1048576,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260527,4096,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260527,65536,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260527,524288,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260527,1048576,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260528,4096,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260528,65536,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260528,524288,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260528,1048576,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260529,4096,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260529,65536,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260529,524288,50,50,0,1.0,FINAL_ONLY,,,
Hard-projected (ours),20260529,1048576,50,50,0,1.0,FINAL_ONLY,,,
GRU + projection,20260525,4096,0,50,50,0.0,FINAL_ONLY,0.0375,,
GRU + projection,20260525,65536,2,50,48,0.04,FINAL_ONLY,0.0375,,
GRU + projection,20260525,524288,1,50,49,0.02,FINAL_ONLY,0.0375,,
GRU + projection,20260525,1048576,1,50,49,0.02,FINAL_ONLY,0.0375,,
GRU + projection,20260526,4096,1,50,49,0.02,FINAL_ONLY,0.0375,,
GRU + projection,20260526,65536,0,50,50,0.0,FINAL_ONLY,0.0375,,
GRU + projection,20260526,524288,5,50,45,0.1,FINAL_ONLY,0.0375,,
GRU + projection,20260526,1048576,1,50,49,0.02,FINAL_ONLY,0.0375,,
GRU + projection,20260527,4096,0,50,50,0.0,FINAL_ONLY,0.05,,
GRU + projection,20260527,65536,2,50,48,0.04,FINAL_ONLY,0.05,,
GRU + projection,20260527,524288,0,50,50,0.0,FINAL_ONLY,0.05,,
GRU + projection,20260527,1048576,1,50,49,0.02,FINAL_ONLY,0.05,,
GRU + projection,20260528,4096,0,50,50,0.0,FINAL_ONLY,0.025,,
GRU + projection,20260528,65536,4,50,46,0.08,FINAL_ONLY,0.025,,
GRU + projection,20260528,524288,1,50,49,0.02,FINAL_ONLY,0.025,,
GRU + projection,20260528,1048576,0,50,50,0.0,FINAL_ONLY,0.025,,
GRU + projection,20260529,4096,1,50,49,0.02,FINAL_ONLY,0.0625,,
GRU + projection,20260529,65536,2,50,48,0.04,FINAL_ONLY,0.0625,,
GRU + projection,20260529,524288,0,50,50,0.0,FINAL_ONLY,0.0625,,
GRU + projection,20260529,1048576,0,50,50,0.0,FINAL_ONLY,0.0625,,
Structured SSM + projection,20260525,4096,4,50,46,0.08,FINAL_ONLY,0.0625,,
Structured SSM + projection,20260525,65536,2,50,48,0.04,FINAL_ONLY,0.0625,,
Structured SSM + projection,20260525,524288,0,50,50,0.0,FINAL_ONLY,0.0625,,
Structured SSM + projection,20260525,1048576,0,50,50,0.0,FINAL_ONLY,0.0625,,
Structured SSM + projection,20260526,4096,1,50,49,0.02,FINAL_ONLY,0.05,,
Structured SSM + projection,20260526,65536,1,50,49,0.02,FINAL_ONLY,0.05,,
Structured SSM + projection,20260526,524288,1,50,49,0.02,FINAL_ONLY,0.05,,
Structured SSM + projection,20260526,1048576,0,50,50,0.0,FINAL_ONLY,0.05,,
Structured SSM + projection,20260527,4096,2,50,48,0.04,FINAL_ONLY,0.05,,
Structured SSM + projection,20260527,65536,1,50,49,0.02,FINAL_ONLY,0.05,,
Structured SSM + projection,20260527,524288,1,50,49,0.02,FINAL_ONLY,0.05,,
Structured SSM + projection,20260527,1048576,1,50,49,0.02,FINAL_ONLY,0.05,,
Structured SSM + projection,20260528,4096,3,50,47,0.06,FINAL_ONLY,0.05,,
Structured SSM + projection,20260528,65536,2,50,48,0.04,FINAL_ONLY,0.05,,
Structured SSM + projection,20260528,524288,5,50,45,0.1,FINAL_ONLY,0.05,,
Structured SSM + projection,20260528,1048576,0,50,50,0.0,FINAL_ONLY,0.05,,
Structured SSM + projection,20260529,4096,3,50,47,0.06,FINAL_ONLY,0.0125,,
Structured SSM + projection,20260529,65536,0,50,50,0.0,FINAL_ONLY,0.0125,,
Structured SSM + projection,20260529,524288,2,50,48,0.04,FINAL_ONLY,0.0125,,
Structured SSM + projection,20260529,1048576,1,50,49,0.02,FINAL_ONLY,0.0125,,
Bag + projection,20260525,4096,0,50,50,0.0,FINAL_ONLY,0.0375,,
Bag + projection,20260525,65536,2,50,48,0.04,FINAL_ONLY,0.0375,,
Bag + projection,20260525,524288,0,50,50,0.0,FINAL_ONLY,0.0375,,
Bag + projection,20260525,1048576,1,50,49,0.02,FINAL_ONLY,0.0375,,
Bag + projection,20260526,4096,2,50,48,0.04,FINAL_ONLY,0.075,,
Bag + projection,20260526,65536,3,50,47,0.06,FINAL_ONLY,0.075,,
Bag + projection,20260526,524288,0,50,50,0.0,FINAL_ONLY,0.075,,
Bag + projection,20260526,1048576,3,50,47,0.06,FINAL_ONLY,0.075,,
Bag + projection,20260527,4096,2,50,48,0.04,FINAL_ONLY,0.0375,,
Bag + projection,20260527,65536,0,50,50,0.0,FINAL_ONLY,0.0375,,
Bag + projection,20260527,524288,0,50,50,0.0,FINAL_ONLY,0.0375,,
Bag + projection,20260527,1048576,1,50,49,0.02,FINAL_ONLY,0.0375,,
Bag + projection,20260528,4096,0,50,50,0.0,FINAL_ONLY,0.05,,
Bag + projection,20260528,65536,3,50,47,0.06,FINAL_ONLY,0.05,,
Bag + projection,20260528,524288,3,50,47,0.06,FINAL_ONLY,0.05,,
Bag + projection,20260528,1048576,2,50,48,0.04,FINAL_ONLY,0.05,,
Bag + projection,20260529,4096,3,50,47,0.06,FINAL_ONLY,0.05,,
Bag + projection,20260529,65536,3,50,47,0.06,FINAL_ONLY,0.05,,
Bag + projection,20260529,524288,2,50,48,0.04,FINAL_ONLY,0.05,,
Bag + projection,20260529,1048576,1,50,49,0.02,FINAL_ONLY,0.05,,
Bag + projection,AGGREGATE,4096,7,250,243,0.028,,,0.028000000000000004,0.011330013795658532
Bag + projection,AGGREGATE,65536,11,250,239,0.044,,,0.044,0.022166258024693034
Bag + projection,AGGREGATE,524288,5,250,245,0.02,,,0.02,0.0065250700020295024
Bag + projection,AGGREGATE,1048576,8,250,242,0.032,,,0.032,0.013914611548743822
GRU + projection,AGGREGATE,4096,2,250,248,0.008,,,0.008,0.0009703097230388862
GRU + projection,AGGREGATE,65536,10,250,240,0.04,,,0.04,0.01934549850526453
GRU + projection,AGGREGATE,524288,7,250,243,0.028,,,0.028000000000000004,0.011330013795658532
GRU + projection,AGGREGATE,1048576,3,250,247,0.012,,,0.012,0.00248155825470304
Hard-projected (ours),AGGREGATE,4096,250,250,0,1.0,,,1.0,0.9853528113643196
Hard-projected (ours),AGGREGATE,65536,250,250,0,1.0,,,1.0,0.9853528113643196
Hard-projected (ours),AGGREGATE,524288,250,250,0,1.0,,,1.0,0.9853528113643196
Hard-projected (ours),AGGREGATE,1048576,250,250,0,1.0,,,1.0,0.9853528113643196
Structured SSM + projection,AGGREGATE,4096,13,250,237,0.052,,,0.052000000000000005,0.02797489245844054
Structured SSM + projection,AGGREGATE,65536,6,250,244,0.024,,,0.024,0.008857361277113632
Structured SSM + projection,AGGREGATE,524288,9,250,241,0.036,,,0.036000000000000004,0.01659128292578173
Structured SSM + projection,AGGREGATE,1048576,2,250,248,0.008,,,0.008,0.0009703097230388862
