model,eval_len,seed,exact_count,total_count,failure_count,final_accuracy,wall_clock_sec,device,best_val_final_acc,chance,seed_mean_final_accuracy,clopper_pearson_lower_95
Bag + projection,512,20260525,0,50,50,0.0,0.021071672439575195,cuda,1.0,0.008333333333333333,,
Bag + projection,2048,20260525,0,50,50,0.0,0.07781338691711426,cuda,1.0,0.008333333333333333,,
Bag + projection,8192,20260525,0,50,50,0.0,0.32030510902404785,cuda,1.0,0.008333333333333333,,
Bag + projection,65536,20260525,1,50,49,0.02,2.3890702724456787,cuda,1.0,0.008333333333333333,,
Bag + projection,512,20260526,1,50,49,0.02,0.020592451095581055,cuda,1.0,0.008333333333333333,,
Bag + projection,2048,20260526,2,50,48,0.04,0.07479238510131836,cuda,1.0,0.008333333333333333,,
Bag + projection,8192,20260526,0,50,50,0.0,0.29935765266418457,cuda,1.0,0.008333333333333333,,
Bag + projection,65536,20260526,0,50,50,0.0,2.467233419418335,cuda,1.0,0.008333333333333333,,
Bag + projection,512,20260527,0,50,50,0.0,0.02078700065612793,cuda,1.0,0.008333333333333333,,
Bag + projection,2048,20260527,0,50,50,0.0,0.07729983329772949,cuda,1.0,0.008333333333333333,,
Bag + projection,8192,20260527,0,50,50,0.0,0.30744075775146484,cuda,1.0,0.008333333333333333,,
Bag + projection,65536,20260527,0,50,50,0.0,2.464848518371582,cuda,1.0,0.008333333333333333,,
Bag + projection,512,20260528,1,50,49,0.02,0.021172523498535156,cuda,1.0,0.008333333333333333,,
Bag + projection,2048,20260528,0,50,50,0.0,0.0794222354888916,cuda,1.0,0.008333333333333333,,
Bag + projection,8192,20260528,0,50,50,0.0,0.30684852600097656,cuda,1.0,0.008333333333333333,,
Bag + projection,65536,20260528,1,50,49,0.02,2.4873156547546387,cuda,1.0,0.008333333333333333,,
Bag + projection,512,20260529,0,50,50,0.0,0.02118515968322754,cuda,1.0,0.008333333333333333,,
Bag + projection,2048,20260529,1,50,49,0.02,0.07620811462402344,cuda,1.0,0.008333333333333333,,
Bag + projection,8192,20260529,1,50,49,0.02,0.29882192611694336,cuda,1.0,0.008333333333333333,,
Bag + projection,65536,20260529,0,50,50,0.0,2.4839441776275635,cuda,1.0,0.008333333333333333,,
Bag + projection,512,AGGREGATE,2,250,248,0.008,,,,0.008333333333333333,0.008,0.0009703097230388862
Bag + projection,2048,AGGREGATE,3,250,247,0.012,,,,0.008333333333333333,0.012,0.00248155825470304
Bag + projection,8192,AGGREGATE,1,250,249,0.004,,,,0.008333333333333333,0.004,0.00010126610417905006
Bag + projection,65536,AGGREGATE,2,250,248,0.008,,,,0.008333333333333333,0.008,0.0009703097230388862
