model,eval_len,seed,exact_count,total_count,failure_count,final_accuracy,wall_clock_sec,device,best_val_final_acc,chance,seed_mean_final_accuracy,clopper_pearson_lower_95
GRU + projection,512,20260525,0,50,50,0.0,0.13854598999023438,cuda,1.0,0.008333333333333333,,
GRU + projection,2048,20260525,0,50,50,0.0,0.2241969108581543,cuda,1.0,0.008333333333333333,,
GRU + projection,8192,20260525,0,50,50,0.0,0.8037433624267578,cuda,1.0,0.008333333333333333,,
GRU + projection,65536,20260525,0,50,50,0.0,6.57621169090271,cuda,1.0,0.008333333333333333,,
GRU + projection,512,20260526,0,50,50,0.0,0.1120138168334961,cuda,1.0,0.008333333333333333,,
GRU + projection,2048,20260526,0,50,50,0.0,0.1978292465209961,cuda,1.0,0.008333333333333333,,
GRU + projection,8192,20260526,0,50,50,0.0,0.789203405380249,cuda,1.0,0.008333333333333333,,
GRU + projection,65536,20260526,0,50,50,0.0,6.448122024536133,cuda,1.0,0.008333333333333333,,
GRU + projection,512,20260527,0,50,50,0.0,0.19144701957702637,cuda,1.0,0.008333333333333333,,
GRU + projection,2048,20260527,0,50,50,0.0,0.19552254676818848,cuda,1.0,0.008333333333333333,,
GRU + projection,8192,20260527,0,50,50,0.0,0.8126142024993896,cuda,1.0,0.008333333333333333,,
GRU + projection,65536,20260527,0,50,50,0.0,6.384556531906128,cuda,1.0,0.008333333333333333,,
GRU + projection,512,20260528,0,50,50,0.0,0.052582502365112305,cuda,1.0,0.008333333333333333,,
GRU + projection,2048,20260528,0,50,50,0.0,0.19171500205993652,cuda,1.0,0.008333333333333333,,
GRU + projection,8192,20260528,1,50,49,0.02,0.7572555541992188,cuda,1.0,0.008333333333333333,,
GRU + projection,65536,20260528,0,50,50,0.0,6.40032696723938,cuda,1.0,0.008333333333333333,,
GRU + projection,512,20260529,0,50,50,0.0,0.1271061897277832,cuda,1.0,0.008333333333333333,,
GRU + projection,2048,20260529,1,50,49,0.02,0.18744683265686035,cuda,1.0,0.008333333333333333,,
GRU + projection,8192,20260529,0,50,50,0.0,0.7600786685943604,cuda,1.0,0.008333333333333333,,
GRU + projection,65536,20260529,0,50,50,0.0,6.383374214172363,cuda,1.0,0.008333333333333333,,
GRU + projection,512,AGGREGATE,0,250,250,0.0,,,,0.008333333333333333,0.0,0.0
GRU + projection,2048,AGGREGATE,1,250,249,0.004,,,,0.008333333333333333,0.004,0.00010126610417905006
GRU + projection,8192,AGGREGATE,1,250,249,0.004,,,,0.008333333333333333,0.004,0.00010126610417905006
GRU + projection,65536,AGGREGATE,0,250,250,0.0,,,,0.008333333333333333,0.0,0.0
