model,eval_len,seed,exact_count,total_count,failure_count,final_accuracy,wall_clock_sec,device,best_val_final_acc,chance,seed_mean_final_accuracy,clopper_pearson_lower_95
Structured SSM + projection,512,20260525,0,50,50,0.0,0.022515535354614258,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,2048,20260525,0,50,50,0.0,0.12348461151123047,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,8192,20260525,0,50,50,0.0,0.38011932373046875,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,65536,20260525,0,50,50,0.0,3.4334957599639893,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,512,20260526,0,50,50,0.0,0.021688222885131836,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,2048,20260526,0,50,50,0.0,0.08047127723693848,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,8192,20260526,0,50,50,0.0,0.3295276165008545,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,65536,20260526,0,50,50,0.0,3.298218011856079,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,512,20260527,0,50,50,0.0,0.02189326286315918,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,2048,20260527,0,50,50,0.0,0.08064126968383789,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,8192,20260527,0,50,50,0.0,0.3338348865509033,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,65536,20260527,0,50,50,0.0,3.1554853916168213,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,512,20260528,0,50,50,0.0,0.022078752517700195,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,2048,20260528,0,50,50,0.0,0.08175158500671387,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,8192,20260528,1,50,49,0.02,0.32488512992858887,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,65536,20260528,1,50,49,0.02,3.2120556831359863,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,512,20260529,0,50,50,0.0,0.02190256118774414,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,2048,20260529,1,50,49,0.02,0.0801856517791748,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,8192,20260529,0,50,50,0.0,0.3183753490447998,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,65536,20260529,0,50,50,0.0,3.4431262016296387,cuda,1.0,0.008333333333333333,,
Structured SSM + projection,512,AGGREGATE,0,250,250,0.0,,,,0.008333333333333333,0.0,0.0
Structured SSM + projection,2048,AGGREGATE,1,250,249,0.004,,,,0.008333333333333333,0.004,0.00010126610417905006
Structured SSM + projection,8192,AGGREGATE,1,250,249,0.004,,,,0.008333333333333333,0.004,0.00010126610417905006
Structured SSM + projection,65536,AGGREGATE,1,250,249,0.004,,,,0.008333333333333333,0.004,0.00010126610417905006
