model,eval_len,seed,exact_count,total_count,failure_count,final_accuracy,wall_clock_sec,device,best_val_final_acc,seed_mean_final_accuracy,clopper_pearson_lower_95
ssm_projected,524288,20260525,2,50,48,0.04,11.91836166381836,cuda,0.025,,
ssm_projected,1048576,20260525,1,50,49,0.02,23.945967197418213,cuda,0.025,,
ssm_projected,524288,20260526,3,50,47,0.06,12.20949387550354,cuda,0.05,,
ssm_projected,1048576,20260526,1,50,49,0.02,24.7723650932312,cuda,0.05,,
ssm_projected,524288,20260527,3,50,47,0.06,11.080917358398438,cuda,0.025,,
ssm_projected,1048576,20260527,0,50,50,0.0,25.124837160110474,cuda,0.025,,
ssm_projected,524288,20260528,0,50,50,0.0,10.550144672393799,cuda,0.0375,,
ssm_projected,1048576,20260528,1,50,49,0.02,23.463374376296997,cuda,0.0375,,
ssm_projected,524288,20260529,1,50,49,0.02,10.772380590438843,cuda,0.0625,,
ssm_projected,1048576,20260529,0,50,50,0.0,22.110560655593872,cuda,0.0625,,
ssm_projected,524288,AGGREGATE,9,250,241,0.036,,,,0.036,0.01659128292578173
ssm_projected,1048576,AGGREGATE,3,250,247,0.012,,,,0.012,0.00248155825470304
